Country,Average # of New COVID-19 Cases
Australia,211.0
Austria,354.2857142857143
Canada,983.0
China,30.0
Denmark,231.14285714285714
Finland,122.14285714285714
France,7373.833333333333
Germany,3894.4285714285716
Italy,4430.0
Japan,183.33333333333334
Netherlands,1097.142857142857
New Zealand,54.6
Norway,168.0
Singapore,200.16666666666666
South Korea,79.0
Spain,5902.571428571428
Sweden,430.0
Switzerland,661.7142857142857
United Kingdom,3680.714285714286
United States,21868.285714285714
