Temperature (F),Country
58.588571428571434,Australia
71.44571428571427,Austria
61.62285714285714,Canada
50.771428571428565,China
43.36571428571428,Denmark
36.73142857142857,Finland
56.582857142857144,France
41.48857142857143,Germany
56.3,Italy
48.894285714285715,Japan
45.808571428571426,Netherlands
79.98285714285714,New Zealand
44.291428571428575,Norway
82.91428571428571,Singapore
43.82857142857143,South Korea
61.82857142857143,Spain
37.862857142857145,Sweden
47.120000000000005,Switzerland
61.90571428571428,United Kingdom
80.70285714285714,United States
