Country,# of COVID-19 Cases,# of Listeners,Artist,Genre
Australia,6468.0,4855803.0,Radiohead,alternative
Austria,14476.0,4177373.0,Queen,classic rock
Canada,29929.0,4855803.0,Radiohead,alternative
China,82341.0,5521938.0,Coldplay,rock
Denmark,6879.0,4177373.0,Queen,classic rock
Finland,3369.0,4177373.0,Queen,classic rock
France,165027.0,4855803.0,Radiohead,alternative
Germany,137698.0,4177373.0,Queen,classic rock
Italy,168941.0,3476999.0,David Bowie,rock
Japan,8626.0,386972.0,宇多田ヒカル,j-pop
Netherlands,29214.0,5521938.0,Coldplay,rock
New Zealand,1401.0,4855803.0,Radiohead,alternative
Norway,6896.0,5521938.0,Coldplay,rock
Singapore,4427.0,5521938.0,Coldplay,rock
Spain,184948.0,3476999.0,David Bowie,rock
Sweden,12540.0,3476999.0,David Bowie,rock
Switzerland,26732.0,5521938.0,Coldplay,rock
United Kingdom,103093.0,3476999.0,David Bowie,rock
United States,677056.0,4855803.0,Radiohead,alternative
